id,nome,sexo,data_nascimento,uf,email,telefone,faixa_renda,tipo_carro,forma_pagamento
228,Isabella,F,06/07/1979,AP,ravi-lucca85@example.com,+55 (059) 99982 4360,32562.08,Hatch,Leasing
229,Paulo,M,12/12/1960,MT,hda-cruz@example.com,+55 (004) 90993 8514,27393.11,Hatch,Dinheiro
230,Pietro,M,07/12/1945,ES,araujoisaac@example.com,+55 25 90466-7168,38092.75,Van,Cartão de Débito
231,Ana Beatriz,F,20/12/2004,DF,yuricassiano@example.org,+55 38 95411-1755,59628.67,Van,Boleto Bancário
232,Lara,F,31/08/2004,RJ,davi-lucca42@example.org,+55 37 98186 1910,32689.67,Coupé,Boleto Bancário
233,Lucas Gabriel,M,30/11/2005,MT,camposbruno@example.net,+55 67 97665-7510,32804.57,Híbrido,Leasing
234,João Vitor,M,03/04/1987,DF,bruna36@example.net,+55 (82) 97680 4409,34657.94,Minivan,Leasing
235,Mariana,F,06/09/1978,ES,lsa@example.net,+55 17 9 3225-7333,19976.57,Utilitário,Cartão de Débito
236,José Pedro,M,13/12/1956,MA,monteiroesther@example.net,+55 (76) 95439-2874,37185.17,Esportivo,Pix
237,Lunna,F,30/04/1952,SE,oliviaalves@example.org,+55 82 96022-1016,54725.81,Van,Dinheiro
238,Rael,M,27/05/1959,AC,lcamargo@example.net,+55 39 9 3685-4435,14307.7,Coupé,Pix
239,Heloísa,F,15/05/2006,SE,brunapereira@example.net,+55 05 93922-5288,36934.25,Esportivo,Dinheiro
240,Ana Lívia,F,25/06/1960,CE,mateus04@example.net,+55 (33) 99029-6003,44365.89,Elétrico,Transferência Bancária
241,Rodrigo,M,01/01/1982,RJ,qmachado@example.net,+55 (16) 96373 9385,42388.58,Híbrido,Transferência Bancária
242,Marcos Vinicius,M,18/07/1957,SE,casa-grandevitor@example.org,+55 (037) 96682-5773,21918.47,Esportivo,Financiamento
243,João Gabriel,M,12/03/2006,ES,da-rochalunna@example.net,+55 (51) 9 8288-0144,37745.87,Van,Leasing
244,Ísis,F,31/07/1951,RN,gpeixoto@example.org,+55 (076) 93871-2516,35971.24,Off-road,Leasing
245,Rhavi,M,28/12/1989,MA,helena81@example.org,+55 01 9 0671-0844,35771.69,SUV,Transferência Bancária
246,Laura,F,19/07/1962,SE,theomachado@example.com,+55 71 9 9821 2295,25523.25,Esportivo,Transferência Bancária
247,Enzo Gabriel,M,08/07/1993,MT,luara56@example.com,+55 40 90183 6073,51072.86,Luxo,Leasing
248,Ísis,F,24/07/1977,PE,lavinia20@example.net,+55 (040) 97090-2733,7191.23,Minivan,Cartão de Débito
249,Alana,F,19/10/2005,RO,otaviodias@example.org,+55 (32) 96523-0117,40864.13,Coupé,Leasing
250,Allana,F,03/11/1960,PB,ana-laura79@example.com,+55 39 99078 3190,21196.75,Sedan,Leasing
251,Ana Lívia,F,23/06/2004,PR,rochaisis@example.com,+55 (74) 95354-7247,44592.75,Sedan,Cartão de Débito
252,Alexia,F,18/10/2006,RJ,goncalvesdavi-luiz@example.com,+55 (05) 9 3223-6645,20969.84,Crossover,Boleto Bancário
253,Amanda,F,22/07/1953,ES,mbarros@example.com,+55 45 9 9086 9576,45027.82,Off-road,Dinheiro
254,Breno,M,19/03/1974,MT,aparecidadavi-lucas@example.org,+55 95 9 6757 1706,7849.11,Off-road,Cartão de Débito
255,Antony,M,21/04/1999,MG,joao-vitor56@example.org,+55 (042) 98637 7428,39371.42,Picape,Dinheiro
256,Antonella,F,28/09/1990,PB,anovaes@example.com,+55 (003) 94959-8974,45098.61,Hatch,Pix
257,Ravi,M,02/10/1988,AL,laviniamoreira@example.com,+55 (093) 98419 3176,32934.52,Picape,Boleto Bancário
258,Maria Cecília,F,31/12/2004,ES,machadogustavo@example.com,+55 (69) 91578 3353,9471.24,Luxo,Leasing
259,Emilly,F,12/01/1960,SE,rhavipeixoto@example.com,+55 (59) 97552-2816,22881.04,Médio,Pix
260,Natália,F,10/06/1967,SP,murilo09@example.net,+55 12 98436-2481,6226.93,Off-road,Carteira Digital
261,Caroline,F,05/08/1999,RN,siqueiranina@example.org,+55 (12) 93522-5067,12803.38,Sedan,Transferência Bancária
262,Giovanna,F,19/10/1958,SE,da-pazrhavi@example.net,+55 (58) 94824 5528,48644.73,Crossover,Carteira Digital
263,Gabriela,F,09/01/1951,CE,benjamim97@example.org,+55 (065) 96300-6270,45210.31,Crossover,Pix
264,Pedro Lucas,M,29/08/1967,MG,alana04@example.net,+55 (014) 99293 6467,13174.09,Off-road,Cartão de Crédito
265,Ryan,M,22/02/1983,RS,da-motaleonardo@example.com,+55 25 9 0712 0666,12097.42,Híbrido,Transferência Bancária
266,Olivia,F,13/07/1990,RS,luancorreia@example.com,+55 15 94209 9633,58571.99,Hatch,Transferência Bancária
267,José Miguel,M,19/05/1974,GO,maria-clara96@example.org,+55 98 9 4547-6760,8403.56,Elétrico,Leasing
268,Davi,M,18/12/2006,BA,heloisacamara@example.org,+55 (08) 93793-6761,33843.92,Médio,Dinheiro
269,Catarina,F,16/06/1996,PA,machadojulia@example.net,+55 65 91107 3760,10127.39,SUV,Financiamento
270,Valentim,M,24/03/1976,MG,yasmin60@example.net,+55 05 9 8960 7603,15697.22,Van,Cartão de Débito
271,Sarah,F,20/12/1949,AP,luiz-miguel31@example.org,+55 (40) 9 2179 5558,50569.91,Médio,Carteira Digital
272,Vicente,M,22/05/1994,AM,jesusbenjamim@example.org,+55 (035) 91347-1788,13045.53,Crossover,Boleto Bancário
273,Liam,M,17/11/1978,MG,davi-lucas75@example.org,+55 (059) 93516-0040,51143.46,Elétrico,Cartão de Débito
274,Amanda,F,24/02/1970,MT,ebarros@example.net,+55 (069) 93181-8777,25265.73,Híbrido,Financiamento
275,Vinicius,M,26/05/2001,RR,maria-juliacastro@example.net,+55 (054) 93993 2724,7378.6,Picape,Pix
276,Sara,F,07/07/1968,PI,guerravitoria@example.com,+55 15 99780-0159,21094.95,Elétrico,Carteira Digital
277,Vitória,F,20/02/1995,BA,cteixeira@example.org,+55 (80) 90769 8172,14077.57,Utilitário,Boleto Bancário
278,Luiz Otávio,M,14/11/1979,RO,vicentecirino@example.org,+55 52 90348 0084,25156.36,Coupé,Cartão de Crédito
279,Pietro,M,08/06/1966,AC,vitor88@example.com,+55 69 9 3719 1695,33090.22,SUV,Cartão de Débito
280,Fernanda,F,27/06/1963,RS,joao-guilherme37@example.com,+55 (18) 9 3798-1105,16425.83,Médio,Leasing
281,Caio,M,23/05/1987,SP,luizacavalcante@example.net,+55 (037) 95408-7160,48585.08,Coupé,Pix
282,Gustavo Henrique,M,16/07/1945,AL,luiz-fernando42@example.com,+55 48 97928 3471,59581.19,Híbrido,Financiamento
283,Maria Laura,F,05/12/1995,GO,camaraaugusto@example.com,+55 (48) 99205-8575,44576.38,Utilitário,Dinheiro
284,Brenda,F,11/06/1953,AL,casa-grandecarolina@example.com,+55 (044) 99458-0724,35567.17,Esportivo,Transferência Bancária
285,Bruno,M,10/12/1993,PB,sara68@example.org,+55 30 9 6938 1021,28949.24,Esportivo,Cartão de Débito
286,Eduarda,F,16/11/1974,AM,estermoraes@example.com,+55 (051) 92730 7848,23364.88,Van,Cartão de Crédito
287,Davi Luiz,M,02/08/1956,AL,ana-laura67@example.com,+55 (026) 90158-1487,59543.33,Van,Cartão de Débito
288,Rodrigo,M,23/02/1969,CE,maria-luiza65@example.org,+55 30 9 9828 3405,49485.95,Luxo,Leasing
289,Mariane,F,23/09/1989,MA,stella87@example.com,+55 (85) 9 2889-8174,54039.44,Hatch,Boleto Bancário
290,Luan,M,01/10/1983,GO,santoshellena@example.org,+55 (072) 98100-1883,37572.24,Sedan,Dinheiro
291,Isaac,M,13/10/1959,RO,benjamim80@example.com,+55 (27) 9 1328-8167,12114.22,Elétrico,Boleto Bancário
292,Pedro Henrique,M,30/11/1993,PI,rcunha@example.org,+55 (03) 9 1867 6238,46255.93,Van,Boleto Bancário
293,Otávio,M,28/03/1959,RR,calebe47@example.com,+55 43 9 1736 1402,40030.43,Coupé,Carteira Digital
294,Kevin,M,17/02/2007,SP,vitoria44@example.org,+55 (42) 90673-6230,55945.88,Picape,Cartão de Crédito
295,Agatha,F,30/09/1980,RJ,levigarcia@example.org,+55 (57) 9 3634 8982,7803.69,Médio,Boleto Bancário
296,Otto,M,04/10/1974,ES,rodrigo43@example.net,+55 (41) 91760 6797,32913.28,Off-road,Leasing
297,Maria Júlia,F,22/01/1968,RR,valentim18@example.org,+55 02 9 4855-4792,21277.19,Van,Pix
298,Benicio,M,05/04/2002,SP,mendoncabento@example.org,+55 29 9 0965-9486,6902.3,Van,Pix
299,Melina,F,29/04/1999,SP,souzamiguel@example.com,+55 93 9 5400 9461,37521.31,Coupé,Leasing
300,Giovanna,F,15/05/1950,RR,lfreitas@example.org,+55 (55) 9 9594 5849,26801.28,Van,Financiamento
301,Mariane,F,11/10/1983,RR,hborges@example.net,+55 (50) 9 7504 6729,24625.85,Conversível,Financiamento
302,Laura,F,14/04/1962,RR,renannunes@example.net,+55 12 94083 8964,21470.39,Off-road,Dinheiro
303,Isaque,M,03/08/1987,SE,martinsnathan@example.com,+55 (019) 90752-9429,30149.28,Picape,Financiamento
304,Henry,M,08/07/1951,ES,camargoenrico@example.org,+55 (037) 98685-2474,26818.32,Compacto,Cartão de Crédito
305,Brenda,F,27/07/1948,BA,rporto@example.net,+55 43 9 8143 1375,33784.92,SUV,Cartão de Crédito
306,Isabel,F,11/01/1948,BA,cunhajoao-miguel@example.com,+55 (24) 92205-1605,51545.07,SUV,Financiamento
307,Evelyn,F,20/05/1955,PA,wandrade@example.com,+55 57 9 3790 7711,40946.51,Crossover,Dinheiro
308,Arthur Miguel,M,05/12/1960,AP,maria-flor93@example.com,+55 (39) 99601 7695,9246.51,Utilitário,Financiamento
309,Maria Cecília,F,20/09/1979,PA,mcavalcante@example.com,+55 (91) 9 5695 2652,45853.81,Sedan,Transferência Bancária
310,Isabel,F,09/12/2000,PR,fda-mata@example.org,+55 (75) 9 7558 5943,36393.78,Off-road,Dinheiro
311,Vinicius,M,11/09/1988,MA,cirinotheo@example.org,+55 (66) 9 1633-5147,38342.74,Coupé,Cartão de Crédito
312,Anthony,M,20/10/2006,PA,da-cruzcalebe@example.org,+55 (032) 95298 7678,18590.98,Elétrico,Boleto Bancário
313,Liam,M,27/12/1944,AM,knovais@example.com,+55 (15) 92257-7729,19267.44,SUV,Financiamento
314,Gustavo,M,25/07/1980,MA,olivia40@example.com,+55 70 9 0059 7867,7622.37,Hatch,Leasing
315,Gael Henrique,M,23/09/1951,RO,liam33@example.com,+55 (02) 9 4617 0466,44468.85,Minivan,Cartão de Crédito
316,Enzo Gabriel,M,04/12/1958,SC,moraesrafael@example.net,+55 (022) 93735-8501,45359.68,Picape,Financiamento
317,Dom,M,14/11/2004,RO,francisco36@example.net,+55 (020) 90950-7283,19617.26,Utilitário,Transferência Bancária
318,Júlia,F,09/05/1965,MS,henry-gabrielnovaes@example.org,+55 (044) 98355 8023,44956.67,Van,Pix
319,Raquel,F,20/12/1961,SE,sabrina03@example.org,+55 (46) 97469-4061,11874.46,Elétrico,Pix
320,Enrico,M,20/06/1985,MS,pmartins@example.org,+55 (76) 99017 3289,45127.16,Hatch,Dinheiro
321,Miguel,M,05/12/1955,CE,camargomaria-liz@example.net,+55 (037) 99698-2113,40484.21,Coupé,Pix
322,João Felipe,M,09/10/1991,CE,gabriel63@example.net,+55 (56) 9 5774 4641,20499.49,Crossover,Cartão de Crédito
323,Thales,M,07/02/2007,AM,moraespedro-lucas@example.com,+55 08 9 8857 5570,17629.95,Utilitário,Dinheiro
324,Fernanda,F,03/04/1978,ES,ribeiroliz@example.org,+55 (050) 97443-0496,20042.08,Utilitário,Financiamento
325,Ayla,F,29/09/1961,PI,ygomes@example.net,+55 (012) 90908-6872,42052.4,Utilitário,Pix
326,Clara,F,27/06/1973,BA,grios@example.org,+55 (12) 92293 5643,56064.57,Picape,Transferência Bancária
327,Maria Fernanda,F,02/01/1969,AC,wcastro@example.com,+55 24 9 7885 5796,11471.72,Elétrico,Pix
328,Ester,F,21/09/1954,RN,aliceviana@example.net,+55 84 92685-3458,33126.98,Sedan,Leasing
329,Thiago,M,12/07/1955,RR,gcampos@example.net,+55 (59) 9 7277 6520,19966.66,Híbrido,Cartão de Crédito
330,Alice,F,16/02/1959,DF,jalmeida@example.org,+55 (07) 9 5499-2227,12941.2,Esportivo,Cartão de Débito
331,Marcela,F,18/12/1951,TO,pimentaleo@example.org,+55 (57) 97028 7004,59671.81,Hatch,Cartão de Crédito
332,Isabella,F,19/05/1956,SE,garciastella@example.com,+55 (18) 9 3999-4207,43610.12,Van,Transferência Bancária
333,Letícia,F,06/05/1954,RJ,mrocha@example.org,+55 (97) 95647-7889,9133.98,Hatch,Financiamento
334,Lorenzo,M,12/12/1947,PE,cecilia29@example.org,+55 23 96977 6712,55964.42,Esportivo,Financiamento
335,Gustavo Henrique,M,14/08/1945,PA,heloisacorreia@example.com,+55 (03) 9 4004-6320,15215.64,Médio,Dinheiro
336,Otto,M,14/07/1945,PR,josuecamara@example.org,+55 83 9 0978-0899,17138.02,SUV,Boleto Bancário
337,José Miguel,M,29/11/2002,AL,rodrigofreitas@example.com,+55 67 95452 6056,32297.59,Elétrico,Leasing
338,Ana Cecília,F,19/05/1964,MA,murilo42@example.net,+55 (56) 98346 6366,49980.9,Off-road,Carteira Digital
339,Daniela,F,01/05/1982,AP,maria-clara22@example.net,+55 (45) 9 6803 5121,40469.95,Hatch,Pix
340,Maysa,F,24/05/1993,RR,ferreiraeloa@example.com,+55 77 98973 5529,43983.58,Sedan,Financiamento
341,Théo,M,30/03/1965,BA,duartejosue@example.org,+55 (24) 90875 9674,9937.2,Picape,Pix
342,Carolina,F,28/06/1979,AM,silveirajoao-vitor@example.net,+55 (86) 9 4703-1173,59741.55,Off-road,Financiamento
343,Agatha,F,26/10/1948,ES,lucas-gabriel71@example.org,+55 (74) 92128-2299,27489.05,SUV,Pix
344,Kamilly,F,20/02/1996,CE,hmontenegro@example.org,+55 01 9 6632 4105,5679.4,Crossover,Leasing
345,Fernando,M,04/10/1965,PB,oliviamacedo@example.org,+55 (078) 91923 8005,35627.61,Van,Boleto Bancário
346,Ísis,F,21/06/1954,CE,ravi87@example.org,+55 19 9 3009 0369,5209.58,Sedan,Financiamento
347,Maria Cecília,F,24/05/1986,PE,ncunha@example.net,+55 57 95716-5244,39644.16,Esportivo,Cartão de Crédito
348,Lívia,F,14/06/1998,RR,carolinapeixoto@example.com,+55 (016) 97856-4054,23625.74,Picape,Cartão de Crédito
349,Murilo,M,20/05/1974,TO,yasmin09@example.net,+55 (13) 9 7727 8717,21350.85,Médio,Carteira Digital
350,Alexandre,M,03/04/2001,RN,joao-gabrielgoncalves@example.org,+55 (28) 91217 4382,47776.98,Compacto,Carteira Digital
351,Maria,F,06/12/1978,AC,isadorasa@example.com,+55 (18) 9 3938-6971,7627.8,Minivan,Carteira Digital
352,Juan,M,25/11/1986,RJ,liam55@example.com,+55 (68) 9 8291 4591,44321.5,Sedan,Cartão de Débito
353,Luiz Felipe,M,29/03/1946,PR,opires@example.org,+55 14 99253-0116,36164.73,Compacto,Cartão de Crédito
354,João Lucas,M,25/10/1991,PB,tmacedo@example.com,+55 (93) 92452-1112,13589.49,Hatch,Boleto Bancário
355,Breno,M,23/03/2005,ES,noahcamara@example.org,+55 (078) 92201-7421,5448.0,Esportivo,Cartão de Débito
356,Manuela,F,05/12/2004,RS,jda-paz@example.net,+55 (00) 94979 5358,28159.13,Sedan,Transferência Bancária
357,Maria Isis,F,20/08/1996,SP,cavalcantibarbara@example.net,+55 (039) 95185 0604,53791.27,SUV,Financiamento
358,Bento,M,28/04/1955,RS,alima@example.com,+55 31 98742 1953,41356.46,Crossover,Cartão de Débito
359,Ana,F,12/11/1961,PE,biancada-costa@example.org,+55 41 96913 6166,20850.58,Off-road,Carteira Digital
360,Jade,F,20/02/1977,AP,benjaminda-rosa@example.net,+55 10 95891 8501,49937.38,Híbrido,Cartão de Débito
361,Vinicius,M,02/01/2004,CE,francisco57@example.com,+55 23 9 4818-2569,23218.63,Off-road,Boleto Bancário
362,João Lucas,M,11/12/1968,TO,kamilly14@example.org,+55 (091) 98362-5110,20140.33,Hatch,Cartão de Débito
363,Murilo,M,31/10/2001,RS,kamilly17@example.com,+55 85 9 0774 6266,54932.74,Luxo,Transferência Bancária
364,Eduarda,F,04/02/1977,RR,nina80@example.net,+55 (37) 9 2959-6297,24266.39,Luxo,Pix
365,Raul,M,26/06/2004,ES,diasarthur@example.org,+55 (21) 92573-3299,26816.58,Coupé,Financiamento
366,Lucas Gabriel,M,04/04/1971,RJ,kda-mata@example.net,+55 (98) 96989-3670,36349.27,Utilitário,Carteira Digital
367,Pedro Lucas,M,06/05/1978,AP,ana-laura27@example.org,+55 (012) 98186-9640,59644.2,Minivan,Cartão de Crédito
368,Larissa,F,22/03/1979,PE,alanamoura@example.net,+55 (000) 94605 4010,40609.79,Minivan,Pix
369,Kaique,M,22/09/1985,ES,gcaldeira@example.org,+55 56 9 5274-9675,20250.87,Sedan,Transferência Bancária
370,Ravy,M,30/04/1976,MA,castroemanuel@example.net,+55 (51) 90839 3513,24017.93,Picape,Cartão de Crédito
371,Yasmin,F,19/04/1975,PA,mporto@example.com,+55 97 90454 7390,28728.45,SUV,Boleto Bancário
372,Vinicius,M,12/03/1946,MT,mathiascostela@example.net,+55 (65) 9 7190 7357,38728.44,Híbrido,Dinheiro
373,Esther,F,15/11/1987,CE,maria05@example.net,+55 37 99666 1313,8315.62,Luxo,Dinheiro
374,José,M,03/12/1952,SE,levi54@example.org,+55 (79) 93849-5694,28954.57,Minivan,Leasing
375,Juliana,F,11/08/1957,RS,valentim87@example.com,+55 84 9 9398 6157,50313.82,SUV,Boleto Bancário
376,Vitor Hugo,M,24/04/1986,MS,liviasiqueira@example.com,+55 (06) 90628 6475,31098.09,Picape,Pix
377,Henrique,M,16/07/1997,AC,mendesemilly@example.net,+55 57 9 3568 2813,25371.18,Híbrido,Cartão de Débito
378,Mariah,F,01/03/2006,PB,isabeldas-neves@example.com,+55 (067) 90347 2523,55545.51,Médio,Financiamento
379,Bruno,M,20/03/1966,AP,pastorvalentina@example.org,+55 (93) 92863 9051,38461.78,Crossover,Financiamento
380,Bella,F,13/02/1971,TO,pereirayasmin@example.com,+55 (08) 9 0302-8344,11073.04,Van,Leasing
381,Yasmin,F,02/07/2005,AM,gabriellyfernandes@example.com,+55 (43) 96732 0500,39461.38,Hatch,Cartão de Crédito
382,Miguel,M,25/11/1975,SC,goncalvesmarcelo@example.com,+55 (01) 9 4627-0441,40553.92,Crossover,Transferência Bancária
383,Emanuel,M,14/09/1953,SE,benjamim03@example.net,+55 35 97201-0762,21598.09,Van,Carteira Digital
384,Emanuella,F,06/03/1982,RO,maria-flor77@example.org,+55 (34) 92909 3299,35091.27,Luxo,Cartão de Crédito
385,Theodoro,M,17/06/1945,SE,avargas@example.org,+55 (047) 98229 0475,58781.63,Médio,Cartão de Débito
386,Benjamim,M,08/10/2002,AM,nda-mota@example.net,+55 (53) 9 4706-7321,35870.75,Hatch,Carteira Digital
387,Heloisa,F,03/04/1992,SE,nferreira@example.net,+55 77 9 5441-0459,24799.45,Elétrico,Transferência Bancária
388,Theo,M,03/10/1979,RJ,salesthomas@example.net,+55 41 9 7271-8314,55390.66,Hatch,Pix
389,Dante,M,05/03/1972,RJ,isadora84@example.net,+55 (71) 91185 9840,25422.18,Esportivo,Transferência Bancária
390,Júlia,F,20/02/1990,ES,calebesampaio@example.com,+55 27 9 0380 4291,40185.64,Minivan,Carteira Digital
391,Ana Julia,F,31/05/1983,BA,cborges@example.com,+55 48 9 4954 9400,22931.48,Coupé,Dinheiro
392,Ana Luiza,F,30/12/1952,SP,cavalcantivinicius@example.net,+55 (06) 9 7150 2366,23775.47,Esportivo,Financiamento
393,Luara,F,16/05/1968,SE,alexiaribeiro@example.org,+55 (93) 9 4170-7730,10489.91,Utilitário,Boleto Bancário
394,Caroline,F,28/10/1973,AL,garcialeo@example.org,+55 (070) 94096-3472,35315.86,Picape,Boleto Bancário
395,Hellena,F,02/10/1955,PR,hcardoso@example.com,+55 04 96198-5130,48797.71,Médio,Cartão de Crédito
396,Ana Lívia,F,25/03/2007,PE,maysalima@example.org,+55 (15) 98820 9297,7542.78,Sedan,Cartão de Crédito
397,Allana,F,30/09/1998,PB,novaesana-liz@example.com,+55 (001) 95039 9326,9222.45,Híbrido,Transferência Bancária
398,Calebe,M,10/07/1986,AM,xmarques@example.net,+55 60 9 5094 5539,41297.56,Conversível,Pix
399,Bruna,F,21/09/1944,DF,wrezende@example.org,+55 77 93345-3999,36826.0,Sedan,Cartão de Débito
400,Maysa,F,04/11/1976,DF,ravi-lucca63@example.com,+55 (87) 9 6072-5062,24319.82,Picape,Pix
401,Maria Clara,F,14/11/1982,RO,krocha@example.net,+55 (22) 9 9274 9426,12155.27,Elétrico,Financiamento
402,Bernardo,M,02/08/1955,AM,eazevedo@example.org,+55 75 94816 2794,57143.41,Médio,Carteira Digital
403,Ravy,M,15/09/1960,PI,juliasouza@example.com,+55 (74) 93857-2743,20798.68,Médio,Pix
404,Sarah,F,20/07/1953,MS,valentinapereira@example.org,+55 89 9 0511 3289,36942.3,Off-road,Leasing
405,João Felipe,M,19/06/1976,CE,gael-henriquecarvalho@example.com,+55 (025) 95559 9785,14709.03,Off-road,Cartão de Débito
406,Maria Helena,F,14/10/1949,PA,mariane95@example.com,+55 69 9 8829-6491,40478.34,Picape,Leasing
407,Emilly,F,26/09/1974,RS,mariahcamara@example.org,+55 25 90502-5363,58569.52,Compacto,Pix
408,Beatriz,F,12/11/1999,SE,melinavasconcelos@example.org,+55 44 97623-0308,27430.59,Luxo,Transferência Bancária
409,Arthur,M,13/12/1945,SC,costelanina@example.com,+55 (054) 94001-7631,43873.08,Médio,Cartão de Débito
410,Ana Lívia,F,25/05/1985,BA,ana-carolinavieira@example.com,+55 38 9 8505 8972,25191.18,Conversível,Pix
411,Pedro Miguel,M,14/03/1979,DF,melorafael@example.net,+55 04 95452 3783,36791.57,Van,Carteira Digital
412,Natália,F,23/02/1976,RN,lucas26@example.org,+55 (32) 97569-2899,58439.68,Picape,Transferência Bancária
413,Olívia,F,12/07/1980,TO,barbosaluiz-otavio@example.com,+55 (91) 9 4086 1565,52985.5,Esportivo,Dinheiro
414,Gabriel,M,20/08/1965,MG,gabrielly98@example.net,+55 (33) 9 0891-7904,18023.66,Conversível,Pix
415,Gael,M,19/01/1974,MS,eloateixeira@example.com,+55 (76) 90876 2304,54799.55,Minivan,Financiamento
416,Rafaela,F,30/09/1973,AP,danielasampaio@example.com,+55 (27) 98259 1035,27670.48,Elétrico,Cartão de Crédito
417,Bruno,M,20/06/1998,AM,kvieira@example.org,+55 62 90832-6613,11955.14,Minivan,Pix
418,Antony,M,07/02/1959,MG,leticiamendes@example.com,+55 73 9 9654 1996,15254.53,SUV,Pix
419,Maria Liz,F,14/06/1973,AL,cunhaenrico@example.net,+55 (13) 9 3427 8121,5332.52,Compacto,Boleto Bancário
420,Raquel,F,23/09/1948,RS,gazevedo@example.org,+55 92 95057-7292,5822.29,Híbrido,Transferência Bancária
421,Stephany,F,06/06/1962,AC,yasmin83@example.org,+55 51 9 0112-5113,58588.88,Minivan,Transferência Bancária
422,Asafe,M,12/01/1996,RR,anna-lizda-conceicao@example.net,+55 39 9 9343-6676,58896.04,Picape,Carteira Digital
423,Mariane,F,15/12/1975,PB,asafepastor@example.net,+55 83 96708-4822,51986.82,SUV,Boleto Bancário
424,Sabrina,F,27/04/1972,RJ,lrezende@example.org,+55 (82) 95115-9781,57024.67,Elétrico,Carteira Digital
425,Sophie,F,24/08/1963,CE,dramos@example.org,+55 (72) 9 2970-2715,15997.76,Coupé,Dinheiro
426,Sarah,F,14/09/1994,AM,oliver87@example.com,+55 40 96903 5490,47708.51,Compacto,Cartão de Débito
427,Olívia,F,25/04/2001,PE,pastormiguel@example.net,+55 (50) 9 6935 0970,16040.54,Compacto,Dinheiro
428,Théo,M,17/07/1982,PE,almeidabenicio@example.com,+55 29 99169 4967,51013.53,SUV,Dinheiro
429,Igor,M,01/03/1945,RO,msouza@example.org,+55 (94) 92918 9194,30995.11,Minivan,Financiamento
430,Maria Eduarda,F,08/12/1987,RR,da-rosanicole@example.com,+55 (66) 9 5868-4008,51779.14,Elétrico,Boleto Bancário
431,Igor,M,22/02/1975,PA,frodrigues@example.com,+55 68 95873-5285,26859.91,Off-road,Cartão de Débito
432,Sophie,F,17/07/1960,AP,samuel47@example.com,+55 (59) 9 4785-7410,18540.46,Minivan,Financiamento
433,Maria,F,20/04/1951,PE,joaquimda-cunha@example.org,+55 (29) 99033-8928,52348.49,Crossover,Cartão de Crédito
434,Alana,F,09/05/1993,PE,eloa29@example.com,+55 (79) 90913-3264,30793.93,Híbrido,Cartão de Crédito
435,Luigi,M,29/06/2001,MS,zmelo@example.com,+55 (46) 9 6238 3322,9084.98,SUV,Financiamento
436,Nina,F,19/10/1994,TO,da-cunhaana-sophia@example.org,+55 62 9 0872-9634,10945.04,Esportivo,Pix
437,Cauê,M,20/10/1966,RJ,gmarques@example.org,+55 78 9 6874-8769,50745.78,Sedan,Cartão de Débito
438,Isis,F,12/08/1972,MG,zporto@example.net,+55 (32) 9 9388-0152,17411.27,Hatch,Transferência Bancária
439,José Pedro,M,09/03/1966,CE,nunesjose-pedro@example.org,+55 (091) 92799 4308,13767.45,Híbrido,Carteira Digital
440,Aurora,F,07/10/1963,TO,wcaldeira@example.org,+55 54 9 1412-6010,10789.14,Minivan,Leasing
441,Marcela,F,24/10/1953,PB,costahenry@example.com,+55 15 9 3102 8336,18782.63,Médio,Dinheiro
442,Marina,F,27/11/1978,MS,amelo@example.org,+55 01 9 8719 1620,14668.81,Luxo,Leasing
443,Ravi,M,02/04/1983,AP,novaesbenjamim@example.net,+55 (073) 91672 8857,17525.82,Off-road,Carteira Digital
444,Luara,F,15/10/1953,RN,lalbuquerque@example.com,+55 (065) 98096 3964,7784.48,Elétrico,Financiamento
445,Isabel,F,13/11/1958,MT,pereiraester@example.net,+55 00 9 2385-9584,57027.04,Crossover,Boleto Bancário
446,Olivia,F,12/09/1961,GO,arthur-gabriel52@example.com,+55 07 9 8988 3230,21213.7,Sedan,Financiamento
447,Lorenzo,M,26/09/1999,TO,afogaca@example.org,+55 (005) 92294 8360,24365.5,Picape,Boleto Bancário
448,Davi,M,24/07/1946,AP,bruno75@example.net,+55 86 93169 0330,9941.02,Hatch,Cartão de Débito
449,Luan,M,23/11/1970,PI,vianaenrico@example.net,+55 88 9 9805-8196,19231.9,Minivan,Cartão de Crédito
450,Isabella,F,13/07/1956,RN,nunesisabela@example.net,+55 (94) 9 0884 6868,55344.3,Médio,Boleto Bancário
451,Mirella,F,16/07/1988,RS,da-luzluna@example.com,+55 (38) 9 9063 6484,8925.1,Minivan,Leasing
452,Anthony Gabriel,M,22/06/1983,MS,isabellada-conceicao@example.com,+55 03 9 1622-2125,16018.36,Médio,Cartão de Crédito
453,Maria Luísa,F,22/10/2001,RO,ksampaio@example.org,+55 (090) 91695 9706,21850.58,Sedan,Carteira Digital
454,Ana Liz,F,15/01/2002,DF,gviana@example.com,+55 22 95933-2679,12605.87,SUV,Leasing
455,Lavínia,F,26/09/1981,PE,bellapires@example.com,+55 86 9 5586-2850,23492.54,Médio,Dinheiro
456,Miguel,M,07/05/2000,AL,rezendealexandre@example.org,+55 (014) 98868 0680,12863.07,Minivan,Leasing
457,Ana,F,14/03/1982,MA,cavalcantimaria-fernanda@example.net,+55 (044) 98873-3360,54532.93,Hatch,Boleto Bancário
